condition,family,value,beta,gamma,alpha,n0,method,run_id,J_ref,J_gap_to_direct,relative_gap_to_direct,pmp_kkt_gap,kkt_mean,u_min,u_max,u_mean,terminal_total_N,terminal_mean_N
n0_5,N0,5,0.1,20.0,1.0,5.0,Transformer,seed_1,371.1646195521528,0.04617952196696251,0.00012443338025242362,0.5390685513647308,0.00920935438974619,1.0404684920276113,2.6738532066255196,1.3050683993648227,26.513665366502376,1.2625554936429704
n0_5,N0,5,0.1,20.0,1.0,5.0,Transformer,seed_2,371.1324515130047,0.014011482818830245,3.775474702278482e-05,0.5044997461084746,0.00903099054220812,0.9722189057086021,2.6979689146288557,1.3048746649756022,26.47279642458327,1.2606093535515843
n0_5,N0,5,0.1,20.0,1.0,5.0,Neural-PMP [3],best,371.93334846718125,0.8149084369953812,0.002195817693481079,27.43439770933045,0.061021175828562146,0.0,3.0,1.259803155756913,28.225497639326885,1.344071316158423
n0_5,N0,5,0.1,20.0,1.0,5.0,constant u=1.5,constant,386.45501371046817,15.3365736802823,0.04132528062748598,86.60308565043584,0.1340843362642445,1.5,1.5,1.5,39.595247524703076,1.8854879773668132
n0_20,N0,20,0.1,20.0,1.0,20.0,direct reference,direct_n400,404.83925725016996,0.0,0.0,4.935378258516163,0.024776542826316098,0.0,3.0,1.4097797219184502,26.437339609382903,1.2589209337801381
n0_20,N0,20,0.1,20.0,1.0,20.0,Transformer,seed_0,405.1375031335628,0.29824588339283764,0.0007367019824575366,0.833670833764593,0.014355000839554311,1.0476455085479246,2.7729447499578495,1.4144760348116094,26.5561291591323,1.2645775790063
n0_20,N0,20,0.1,20.0,1.0,20.0,Transformer,seed_1,405.1830052355662,0.3437479853962486,0.0008490974608814408,0.8932618586870675,0.01481776162765682,1.0472803476286345,2.7508734750812582,1.4139605793514483,26.616335888957142,1.2674445661408162
n0_20,N0,20,0.1,20.0,1.0,20.0,Transformer,seed_2,405.28138006674914,0.44212281657917174,0.0010920947231803692,0.9197426273082292,0.014923451174072767,1.062518092252794,2.7209536357758477,1.414207418641009,26.724217721737972,1.2725817962732369
n0_20,N0,20,0.1,20.0,1.0,20.0,Neural-PMP [3],best,405.54380414653167,0.7045468963617054,0.0017403126889108229,15.987364374039467,0.046502357472138184,0.0,3.0,1.3947820653022964,27.066966164001403,1.2889031506667334
n0_20,N0,20,0.1,20.0,1.0,20.0,constant u=1.5,constant,420.5950849531962,15.755827703026227,0.03891872495282712,78.24546698394379,0.11373615192113629,1.5,1.5,1.5,41.190267793994835,1.9614413235235635
