t,u,u_sing,psi,q,mean_N,total_N,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20
1.9,1.064097450145462,1.0541347929407276,0.20601371702652216,0.00040928647403941007,4.071172020925678,85.49461243943924,5.273580425321925,5.310659344808875,5.4175640385054065,5.580403872906044,5.773499388920475,5.957340442359353,6.079527780075259,6.082113174002124,5.916879877496513,5.564546755241703,5.047484817547792,4.425592234077646,3.775274094554357,3.1638755876388642,2.6337387296012102,2.200551184585687,1.860925272792468,1.6018306178373116,1.4075914476680929,1.263651330584447,1.1579820229136646
1.9500000000000002,1.0657087119738078,1.0583805967177702,0.2040917523804744,0.0004505514540518419,4.069441071404723,85.45826249949918,5.306307361152386,5.344311049587326,5.453875903118165,5.620722018567992,5.818385244963901,6.0060549600209026,6.129541255755781,6.128971074588187,5.954820023313694,5.587980136057314,5.052821671348114,4.412419096419641,3.746182132674902,3.1231656881605954,2.5858893039608395,2.1491951343862596,1.808513984914654,1.5497605631588611,1.3565030018861446,1.2137181434521607,1.1091247520113787
2.0,1.0673035480600679,1.0624601398472189,0.20197510245138517,0.0005008238718435222,4.068165962519804,85.43148521291587,5.338855190153313,5.377792124680538,5.490042668911626,5.660936573827995,5.863219004450502,6.0547636837686625,6.179565442206836,6.1758024044553155,5.992640703452424,5.611185517128553,5.05788163572279,4.399049908661737,3.7171244091071243,3.0828293823201496,2.5387914534664953,2.0989451515427624,1.7575054079058117,1.4993238714237376,1.3072200075850087,1.1657170291679606,1.0622936429765388
2.0500000000000003,1.068881736524797,1.0663794372270126,0.19969222792138197,0.0005613461049583914,4.067321888490912,85.41375965830915,5.371210507165682,5.411089007752724,5.526050346054823,5.701032973643247,5.90798554454016,6.10345109386238,6.229584665222629,6.22259168537519,6.0303273290367345,5.634150456167499,5.062655816563077,4.385479574705017,3.6880975036807033,3.0428606000830025,2.4924315106754795,2.049776136519741,1.7078611097002838,1.4504686523856225,1.2596781394314398,1.1195727731488758,1.0174042325948225
2.1,1.0704439092954532,1.07014432335706,0.19727057214381105,0.0006335558735893752,4.066885101479145,85.40458713106204,5.403360434986771,5.4441886606433485,5.561885457803202,5.740997149007632,5.952670219203644,6.152102133165249,6.279583713923379,6.269323927794719,6.067865853729877,5.656863124930718,5.067135991460121,4.371703678164402,3.6590986360496442,3.003253887492725,2.4467965106853464,2.0016639516814974,1.6595440520592246,1.4031449648212906,1.2138156341920088,1.0752133373364823,0.9743758119307654
2.15,1.071991413851057,1.073760471030963,0.19473658645980407,0.0007190722964242888,4.066832720056232,85.40348712118087,5.435292394663327,5.477078338820733,5.5975348075968325,5.780815290699277,5.997258619575416,6.200701965482207,6.329547600221112,6.315984396199339,6.105242550485153,5.679312102028758,5.071314421138633,4.357718312870692,3.630125514502498,2.9640042719414605,2.401874068672466,1.9545853036501981,1.6125184680076683,1.3573046792976406,1.1695731311262931,1.0325696734973908,0.9331312107037817
2.2,1.0735261975101091,1.0772334073992402,0.19211574535984255,0.0008196711987073732,4.067142565788292,85.40999388155413,5.466993908760865,5.5097453938125,5.632985279131626,5.820473645978435,6.041736367201848,6.24923576670351,6.379461350972035,6.362558407008034,6.142443820574872,5.701486197526943,5.075183691807758,4.3435199429537485,3.601176212612414,2.9251071532947908,2.3576522812814287,1.908517647755982,1.5667497600908684,1.3129013611133082,1.126893532543323,0.9915755572030439,0.8935966032267953
2.25,1.0750507107892349,1.0805685278304271,0.189432552810608,0.0009372454795127833,4.067793023417098,85.42365349175905,5.498452432640401,5.542177103645745,5.668223664441248,5.859958343281277,6.086088935240902,6.297688543822153,6.429309827897714,6.409031154096362,6.179456030008325,5.72337430446646,5.078736583589016,4.3291052877257,3.5722490690478637,2.8865582163421197,2.314119647526462,1.8634391104500256,1.5222044155256074,1.2698901696685838,1.085721880913348,0.952167438976613,0.8557013324531059
2.3000000000000003,1.0765678263655003,1.0837711079297268,0.18671054084514083,0.0010737464770888786,4.06876292084504,85.44402133774584,5.529655209505359,5.574360527060442,5.703236515755564,5.899255240679614,6.130301493389747,6.346044977610478,6.479077571072176,6.455387557759795,6.216265369170578,5.744965273164426,5.081965960922114,4.314471227335094,3.5433426066249276,2.848353360805679,2.2712650056224195,1.819328426295276,1.4788499350482003,1.2282277712231562,1.0460052496124395,0.9142843097613574,0.8193777493269958
2.35,1.0780807702492745,1.0868463140087192,0.1839722613372352,0.0012311027973357133,4.070031425829582,85.47065994242124,5.560589145751532,5.606282378029844,5.738010017672165,5.938349794647763,6.174358773087913,6.394289285511583,6.528748662539862,6.5016121336929045,6.252857732270128,5.766247804898403,5.084864681584691,4.299614725885031,3.514455467388785,2.8104886458298477,2.2290774828301787,1.7761648867928794,1.4366547728790975,1.1878722625948277,1.0076926449485766,0.8778675784163994,0.7845610651688195
2.4,1.0795930618625622,1.0897992122351705,0.18123927174740118,0.0014111141658294873,4.071577956961731,85.50313709619635,5.591240703942006,5.637928917911845,5.772529876970755,5.977226946475243,6.218244950345182,6.4424051021045265,6.5783066074299175,6.547688879350662,6.289218613956037,5.787210362327433,5.0874255216772175,4.284532769389257,3.4855863611586244,2.772960246485496,2.1875464559817543,1.7339282988515854,1.395588285743995,1.1487831038459837,0.9707349175887563,0.842860959397902,0.7511892152621727
2.45,1.0811084597871146,1.092634776629471,0.17853211553657644,0.0016153196720641164,4.07338210714235,85.54102424998935,5.6215958115308045,5.66928586335911,5.806781228209864,6.015871024481836,6.261943544369373,6.490375375332937,6.627734230759754,6.593601175870583,6.325333021248634,5.807841094743177,5.089641114615151,4.269222316578108,3.4567340255574264,2.735764420365369,2.14666152085102,1.6925989511721236,1.3556206893248501,1.1109210584115248,0.9350846818917,0.8092103691512208,0.7192027321648095
2.5,1.0826309099830342,1.095357896013329,0.1758702978951341,0.0018448423709385266,4.075423578386166,85.5838951461095,5.651639784276122,5.700338308936018,5.840748554074092,6.054265661032492,6.30543733102256,6.538182277547658,6.677013588978444,6.639331704571807,6.361185399724954,5.828127776983517,5.091503902840023,4.253680261164561,3.4278971960808993,2.6988974828230163,2.1064124689654666,1.6521575872093124,1.3167230208731155,1.0742481394550776,0.900696241963427,0.7768638300366327,0.6885446275503033
2.55,1.0841644932847183,1.0979733799563949,0.17327225742872088,0.0021002155523713807,4.077682127384281,85.6313246750699,5.681357264122835,5.731070664233326,5.874415620294577,6.092393724220644,6.34870827102251,6.585807131313173,6.726125896196023,6.6848623779167236,6.396759573717424,5.848057761582916,5.0930061016143515,4.237903404744853,3.399074585244595,2.662355789827015,2.066789270821852,1.6125853837016086,1.278867107012876,1.0387275615112292,0.8675255235053211,0.7457713808498583,0.6591602816162089
